iter	Passed	Remaining
0	1	162
1	2	124
2	3	108
3	3	95
4	5	95
5	5	93
6	6	91
7	7	88
8	8	87
9	9	89
10	11	96
11	12	93
12	13	92
13	15	93
14	16	92
15	17	90
16	18	89
17	19	86
18	19	84
19	20	82
20	21	80
21	22	78
22	22	76
23	23	75
24	24	74
25	25	73
26	26	71
27	27	70
28	28	69
29	29	67
30	30	68
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	59
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	59	37
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	96	0
